cluster,stId,name,entities_found,entities_tot,FDR_wholeproteome,K_network_annotated,N_network,p_network_raw,FDR_network
1,R-HSA-9700206,Signaling by ALK in cancer,1,119,0.6265018234894812,34,1800,0.9237182938293421,0.9998152877471925
1,R-HSA-2262752,Cellular responses to stress,8,1039,0.6297048197204158,201,1800,0.9847020274913921,0.9998152877471925
1,R-HSA-69002,DNA Replication Pre-Initiation,1,121,0.6326558491900397,25,1800,0.8485006031982357,0.9913828291253998
1,R-HSA-6803157,Antimicrobial peptides,1,123,0.6387092210278458,5,1800,0.31288143025183374,0.7926940672697135
1,R-HSA-5619115,Disorders of transmembrane transporters,2,267,0.6482399011984803,27,1800,0.5920854023258327,0.884755497257863
1,R-HSA-983169,Class I MHC mediated antigen processing & presentation,3,403,0.6484772382902375,50,1800,0.7137545628237263,0.9495672797448393
1,R-HSA-373760,L1CAM interactions,1,130,0.6591267290789279,34,1800,0.9237182938293421,0.9998152877471925
1,R-HSA-1592230,Mitochondrial biogenesis,1,131,0.6619484592040428,25,1800,0.8485006031982357,0.9913828291253998
1,R-HSA-388841,Regulation of T cell activation by CD28 family,2,276,0.6660795913122879,50,1800,0.8881672063947772,0.9998152877471925
1,R-HSA-1169410,Antimicrobial mechanism of IFN-stimulated genes,2,284,0.6813243646889138,68,1800,0.9640125089340273,0.9998152877471925
1,R-HSA-9851695,Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes,1,139,0.6837033232190386,16,1800,0.7001969132197515,0.9394843887870858
1,R-HSA-9818564,Epigenetic regulation of gene expression by MLL3 and MLL4 complexes,1,139,0.6837033232190386,16,1800,0.7001969132197515,0.9394843887870858
1,R-HSA-9841922,MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis,1,139,0.6837033232190386,16,1800,0.7001969132197515,0.9394843887870858
1,R-HSA-69206,G1/S Transition,1,140,0.6863230661740414,28,1800,0.8794254987599189,0.9998152877471925
1,R-HSA-5653656,Vesicle-mediated transport,6,833,0.6887240009271781,141,1800,0.952605024104029,0.9998152877471925
1,R-HSA-9711123,Cellular response to chemical stress,2,288,0.6887332195052238,44,1800,0.8399755900771214,0.9913828291253998
1,R-HSA-1474165,Reproduction,1,146,0.7015953367123462,21,1800,0.7947194963304411,0.9819684735480245
1,R-HSA-9909396,Circadian clock,1,148,0.7065202424546859,22,1800,0.8097203200949397,0.9843230845358971
